modelElementID,codeId
1,org/example/Main.java
2,org/example/FenValidator.java
3,org/example/DefaultFenValidator.java
4,org/example/DefaultFenValidator.java
5,org/example/DefaultKingPlacementValidator.java
5,org/example/DefaultFenStructureValidator.java
5,org/example/DefaultFenValidator.java
5,org/example/DefaultPieceCountValidator.java
6,org/example/DefaultFenStructureValidator.java
6,org/example/FenValidationRule.java
7,org/example/DefaultFenStructureValidator.java
8,org/example/DefaultFenStructureValidator.java
9,org/example/DefaultFenStructureValidator.java
10,org/example/DefaultPieceCountValidator.java
11,org/example/DefaultPieceCountValidator.java
12,org/example/DefaultKingPlacementValidator.java
13,org/example/DefaultPieceCountValidator.java
14,org/example/DefaultKingPlacementValidator.java
15,org/example/DefaultKingPlacementValidator.java
16,org/example/DefaultKingPlacementValidator.java
18,org/example/DefaultFenValidator.java